tr|F1QJ12|F1QJ12_DANRE;sp|A1L2G3|BAP1_DANRE;tr|A0A2R8Q190|A0A2R8Q190_DANRE,tr|F1R8A3|F1R8A3_DANRE;sp|Q05AL2|PPM1H_DANRE
tr|A0A2R8Q824|A0A2R8Q824_DANRE;sp|A2AV36|ANM7_DANRE,tr|A0A2R8PZX1|A0A2R8PZX1_DANRE;tr|F1QM44|F1QM44_DANRE;sp|Q05AM4|FAH2B_DANRE
sp|A2BFP5|S12A9_DANRE,tr|H9KUW5|H9KUW5_DANRE;sp|Q08BH7|UBE2T_DANRE
sp|A2BGG1|MTMRC_DANRE;tr|A0A0R4IW75|A0A0R4IW75_DANRE,tr|A0A0R4IPA3|A0A0R4IPA3_DANRE;sp|Q08BR4|STB1B_DANRE;tr|A0A0R4IUW4|A0A0R4IUW4_DANRE;tr|A0A0R4IT84|A0A0R4IT84_DANRE
sp|A2BGR3|ERC6L_DANRE,tr|F1Q971|F1Q971_DANRE;sp|Q08BV2|TYW5_DANRE
sp|A2BIL7|BAZ1B_DANRE;tr|A0A0R4I9P1|A0A0R4I9P1_DANRE;tr|A0A0R4IGK1|A0A0R4IGK1_DANRE;tr|A0A0R4IQQ6|A0A0R4IQQ6_DANRE,tr|E7FGV8|E7FGV8_DANRE;sp|Q08BY1|MED17_DANRE
sp|A2CEI4|NUP88_DANRE,sp|Q08C57|FDX2_DANRE;tr|A0A0R4IBU4|A0A0R4IBU4_DANRE
sp|A2CEI6|PIWL2_DANRE;tr|T1ECU4|T1ECU4_DANRE,tr|A0A0B4J1A6|A0A0B4J1A6_DANRE;sp|Q08CK7|IF2B1_DANRE
tr|B8JLU1|B8JLU1_DANRE;tr|F1QIN2|F1QIN2_DANRE;sp|A2RRV3|PATL1_DANRE,tr|Q5RH89|Q5RH89_DANRE;sp|Q0E671|NEUAA_DANRE
sp|A2RRV9|NARFL_DANRE;tr|G1K2S6|G1K2S6_DANRE,tr|B8JI52|B8JI52_DANRE;tr|B8JI53|B8JI53_DANRE;tr|A0A2R8QUZ6|A0A2R8QUZ6_DANRE;sp|Q1ECX4|TLK2_DANRE;tr|B8A5H2|B8A5H2_DANRE;tr|F1QH83|F1QH83_DANRE;sp|Q90ZY6|TLK1B_DANRE;tr|A0A0R4IQ51|A0A0R4IQ51_DANRE
tr|F1Q9I9|F1Q9I9_DANRE;tr|A0A2R8QAW1|A0A2R8QAW1_DANRE;sp|A2RV18|DI3L1_DANRE,sp|Q7SXL3|TBP_DANRE;sp|Q1JPY4|TBPL2_DANRE
sp|A3KNK7|MED11_DANRE;tr|F1QM04|F1QM04_DANRE,sp|Q1L8Y7|SHOC2_DANRE
sp|A3KNL5|ATF1A_DANRE,sp|Q1L908|MSTO1_DANRE
sp|A3KP48|F162B_DANRE;tr|F1QIC6|F1QIC6_DANRE,tr|A0A2R8QPT6|A0A2R8QPT6_DANRE;tr|A0A0R4IEF8|A0A0R4IEF8_DANRE;sp|Q1LUE5|ZCH18_DANRE
tr|F1QSS0|F1QSS0_DANRE;sp|A3KP59|RIOX1_DANRE,tr|U3JA79|U3JA79_DANRE;sp|Q1LUI2|HDDC2_DANRE
sp|A3KPK0|AGO3_DANRE;tr|K4IKE9|K4IKE9_DANRE;tr|K4IAH1|K4IAH1_DANRE;tr|F1Q7S8|F1Q7S8_DANRE,sp|Q1LVS8|SVOPL_DANRE;tr|A0A2R8Q7R1|A0A2R8Q7R1_DANRE
tr|A0A2R8QAK1|A0A2R8QAK1_DANRE;tr|F1R9P3|F1R9P3_DANRE;tr|F1QRA6|F1QRA6_DANRE;sp|A3KPN8|TTC38_DANRE;tr|A0A2R8QHZ8|A0A2R8QHZ8_DANRE;tr|A0A2R8Q4F8|A0A2R8Q4F8_DANRE,sp|Q1LWL2|DS22A_DANRE
sp|A3KPQ7|CEIP2_DANRE;tr|G0ZDN6|G0ZDN6_DANRE;tr|A0A2R8QT53|A0A2R8QT53_DANRE,sp|Q1LWV7|MEAK7_DANRE
sp|A3QJU3|COQ8B_DANRE;tr|A0A2R8QCE7|A0A2R8QCE7_DANRE,tr|A0A2R8RQT2|A0A2R8RQT2_DANRE;sp|Q1LX51|WEE2_DANRE
sp|A3QK15|AACS_DANRE,sp|Q1LXS2|PSMG2_DANRE
