,CommonElement,RowNumberInA,IndexNumberInRow,RowNumberInB,IndexNumberInRow
790,tr|A3KPQ6|A3KPQ6_DANRE,1480,0,408,1
791,tr|A0A2R8QCK3|A0A2R8QCK3_DANRE,150,6,337,3
792,tr|Q502M2|Q502M2_DANRE,1648,2,331,0
793,tr|A0A286YB17|A0A286YB17_DANRE,1433,2,288,3
794,tr|B8JLJ7|B8JLJ7_DANRE,1841,4,741,3
795,tr|Q6P0H4|Q6P0H4_DANRE,3931,0,273,1
796,sp|Q6NZ09|ADRM1_DANRE,513,2,91,1
797,tr|A2BIQ8|A2BIQ8_DANRE,1982,0,402,1
798,tr|F1Q892|F1Q892_DANRE,2319,1,305,5
799,tr|U3JA76|U3JA76_DANRE,3682,2,736,2
800,tr|A0A2R8QQL6|A0A2R8QQL6_DANRE,805,0,139,3
801,tr|R4GF10|R4GF10_DANRE,3602,0,723,1
802,tr|A1L2B9|A1L2B9_DANRE,1943,0,475,2
803,tr|Q4VBV0|Q4VBV0_DANRE,3638,1,728,0
804,tr|A0A0G2KGZ7|A0A0G2KGZ7_DANRE,847,1,151,0
805,tr|A0A0R4IYC2|A0A0R4IYC2_DANRE,8,0,2,2
806,tr|A0A140LH09|A0A140LH09_DANRE,1347,0,278,3
807,tr|F1R4B5|F1R4B5_DANRE,3285,0,377,1
808,tr|F1Q5P5|F1Q5P5_DANRE,814,2,142,1
809,tr|X1WD74|X1WD74_DANRE,4308,1,797,0
810,tr|A0A2R8QQ99|A0A2R8QQ99_DANRE,1088,4,206,3
811,tr|A0A140LGX0|A0A140LGX0_DANRE,943,2,174,3
812,tr|A0A2R8QG51|A0A2R8QG51_DANRE,1580,0,235,1
813,sp|B0JZP3|THEM6_DANRE,86,1,224,2
814,tr|A0A2R8Q874|A0A2R8Q874_DANRE,1612,0,515,1
815,tr|A0A0H2UJM0|A0A0H2UJM0_DANRE,675,3,113,2
816,tr|B8JL27|B8JL27_DANRE,1440,1,290,0
817,tr|Q1LUB2|Q1LUB2_DANRE,1392,2,281,0
818,tr|F1QZM2|F1QZM2_DANRE,3818,3,563,3
819,tr|A0A2R8QTE7|A0A2R8QTE7_DANRE,1828,1,328,2
820,tr|A0A2R8RIT0|A0A2R8RIT0_DANRE,3285,1,377,0
821,tr|F1QE18|F1QE18_DANRE,675,4,113,3
822,tr|A0A2R8RMW6|A0A2R8RMW6_DANRE,1866,0,285,1
823,tr|F1Q8E9|F1Q8E9_DANRE,2655,8,558,9
824,tr|Q1LVG2|Q1LVG2_DANRE,683,1,118,2
825,tr|A0A0R4INS7|A0A0R4INS7_DANRE,3220,1,234,0
826,tr|A0A2R8QB02|A0A2R8QB02_DANRE,1652,3,667,2
827,tr|K4IKE9|K4IKE9_DANRE,41,1,709,3
828,tr|F1R866|F1R866_DANRE,3326,0,673,1
829,tr|B8JL30|B8JL30_DANRE,2366,1,481,0
830,tr|A0A2R8QR36|A0A2R8QR36_DANRE,1187,8,237,6
831,tr|I3ISJ2|I3ISJ2_DANRE,3453,1,697,0
832,tr|F1QS14|F1QS14_DANRE,2326,2,469,1
833,tr|A0A2R8QJ16|A0A2R8QJ16_DANRE,1652,0,667,3
834,sp|Q08BH7|UBE2T_DANRE,167,0,28,1
835,tr|K4IAH1|K4IAH1_DANRE,41,2,709,0
836,tr|A0A2R8Q554|A0A2R8Q554_DANRE,3432,2,316,1
837,tr|A0A0R4IK06|A0A0R4IK06_DANRE,1097,2,215,1
838,tr|E9QFV9|E9QFV9_DANRE,4007,1,564,0
839,sp|Q56A35|ARP2B_DANRE,282,2,56,0
840,tr|Q7T3B8|Q7T3B8_DANRE,1557,1,781,0
841,tr|X1WEV8|X1WEV8_DANRE,398,2,73,1
842,tr|E9QEW3|E9QEW3_DANRE,2655,3,558,4
843,tr|Q6AZ98|Q6AZ98_DANRE,3323,1,751,0
844,tr|A0A2R8QPK9|A0A2R8QPK9_DANRE,1795,1,359,4
845,tr|Q6TLE5|Q6TLE5_DANRE,4045,0,439,2
846,tr|F1QML8|F1QML8_DANRE,901,0,162,1
847,tr|A0A2R8QN17|A0A2R8QN17_DANRE,1779,0,380,2
848,tr|A0A140LH54|A0A140LH54_DANRE,943,3,174,0
849,tr|A0A2R8QRI0|A0A2R8QRI0_DANRE,1812,0,507,1
850,tr|A0A2R8RYI8|A0A2R8RYI8_DANRE,1741,5,339,5
851,tr|Q6IQV0|Q6IQV0_DANRE,1717,5,345,3
852,tr|A0A2R8PY05|A0A2R8PY05_DANRE,2517,1,298,1
853,tr|A0A0R4IWT6|A0A0R4IWT6_DANRE,971,1,181,0
854,tr|A0A0R4IM96|A0A0R4IM96_DANRE,1144,0,221,1
855,tr|A0A140LH79|A0A140LH79_DANRE,1347,3,278,0
856,tr|F1QIH9|F1QIH9_DANRE,1403,0,283,2
857,tr|A0A2R8QJK6|A0A2R8QJK6_DANRE,1695,5,340,3
858,tr|A0A2R8PY97|A0A2R8PY97_DANRE,2517,4,298,4
859,tr|Q7ZUZ2|Q7ZUZ2_DANRE,4163,0,724,1
860,tr|E7F244|E7F244_DANRE,3887,1,504,0
861,tr|R4GES8|R4GES8_DANRE,2811,1,590,0
862,tr|Q6NWK7|Q6NWK7_DANRE,3887,5,504,4
863,tr|F1R6C8|F1R6C8_DANRE,1377,0,280,1
864,tr|A0A2R8QDD1|A0A2R8QDD1_DANRE,2517,3,298,3
865,tr|A0A0R4IMS4|A0A0R4IMS4_DANRE,1154,0,225,1
866,tr|Q803N7|Q803N7_DANRE,1717,6,345,2
867,tr|A0A0R4IW79|A0A0R4IW79_DANRE,677,2,115,8
868,tr|A0A0R4IY57|A0A0R4IY57_DANRE,1104,2,270,0
869,tr|F1QFK9|F1QFK9_DANRE,2649,2,604,0
870,tr|E9QEK4|E9QEK4_DANRE,2651,0,561,1
871,tr|E9QFU6|E9QFU6_DANRE,1346,3,276,9
872,tr|A1L223|A1L223_DANRE,1939,2,393,0
873,tr|A9JSZ7|A9JSZ7_DANRE,1453,2,432,0
874,tr|E9QF22|E9QF22_DANRE,2657,2,550,3
875,tr|X1WGK9|X1WGK9_DANRE,2487,3,276,4
876,tr|A0A2R8Q6N9|A0A2R8Q6N9_DANRE,1467,43,166,20
877,tr|A8WGS1|A8WGS1_DANRE,513,3,91,2
878,tr|A0A0R4IPT9|A0A0R4IPT9_DANRE,8,1,2,0
879,sp|Q7T3E4|DBR1_DANRE,676,0,114,1
880,tr|Q6NYR9|Q6NYR9_DANRE,1283,0,260,2
