,CommonElement,RowNumberInA,IndexNumberInRow,RowNumberInB,IndexNumberInRow
259,tr|F8W2H7|F8W2H7_DANRE,1467,3,166,10
260,tr|E7FC79|E7FC79_DANRE,2554,0,322,1
261,tr|F2Z4S3|F2Z4S3_DANRE,3425,1,690,0
262,tr|A0A0G2L1F5|A0A0G2L1F5_DANRE,884,0,157,1
263,tr|A0A2R8QMW2|A0A2R8QMW2_DANRE,643,1,106,0
264,tr|F1R314|F1R314_DANRE,3257,0,276,19
265,tr|B8JKP3|B8JKP3_DANRE,2363,1,479,0
266,tr|A0A0H2UJM6|A0A0H2UJM6_DANRE,1390,4,149,8
267,tr|A0A2R8QDC7|A0A2R8QDC7_DANRE,3501,2,706,2
268,sp|Q9DGE1|MK14B_DANRE,808,1,141,4
269,tr|Q5RKP9|Q5RKP9_DANRE,1841,2,741,0
270,tr|Q5PNM4|Q5PNM4_DANRE,1976,1,737,0
271,tr|B8A5A7|B8A5A7_DANRE,1467,21,166,35
272,tr|F1QTW0|F1QTW0_DANRE,1390,0,149,24
273,tr|A0A0N4SU77|A0A0N4SU77_DANRE,906,0,165,2
274,tr|H9KUW5|H9KUW5_DANRE,167,1,28,0
275,tr|A0A2R8QIV6|A0A2R8QIV6_DANRE,1347,2,278,2
276,tr|E7FGH4|E7FGH4_DANRE,2604,0,301,2
277,sp|Q6NWE1|PHF10_DANRE,481,2,88,1
278,tr|F1RA77|F1RA77_DANRE,3352,0,357,1
279,tr|Q5P991|Q5P991_DANRE,3682,1,736,0
280,sp|Q7T3D1|ERO1A_DANRE,675,0,113,4
281,tr|Q7SX94|Q7SX94_DANRE,4065,0,372,1
282,tr|F1QWL7|F1QWL7_DANRE,1390,2,149,0
283,tr|B8A588|B8A588_DANRE,2316,0,468,1
284,tr|F1Q918|F1Q918_DANRE,1467,55,166,48
285,tr|B8JLL0|B8JLL0_DANRE,2373,1,483,0
286,tr|F6NHV5|F6NHV5_DANRE,1088,5,206,4
287,tr|X1WE68|X1WE68_DANRE,1372,1,799,0
288,tr|Q6PC36|Q6PC36_DANRE,4004,0,708,1
289,tr|A4IFZ8|A4IFZ8_DANRE,1850,2,412,0
290,tr|A2CER9|A2CER9_DANRE,1097,0,215,2
291,tr|Q5RHV1|Q5RHV1_DANRE,3704,0,364,1
292,tr|Q7T343|Q7T343_DANRE,4045,2,439,1
293,tr|F1R8A8|F1R8A8_DANRE,3185,1,646,0
294,tr|Q802U5|Q802U5_DANRE,1187,4,237,7
295,tr|A0A140LGA3|A0A140LGA3_DANRE,268,0,55,1
296,tr|B0R0W1|B0R0W1_DANRE,2173,0,164,1
297,tr|E7F7P9|E7F7P9_DANRE,398,4,73,3
298,tr|F1QTM8|F1QTM8_DANRE,1547,2,311,1
299,tr|A0A0R4IMG3|A0A0R4IMG3_DANRE,86,2,224,0
300,sp|Q568L5|A1A1B_DANRE,3269,4,373,1
301,tr|A0A2R8QH30|A0A2R8QH30_DANRE,1717,4,345,1
302,tr|E9QI23|E9QI23_DANRE,2681,0,570,1
303,sp|Q6PHI9|RAB4A_DANRE,382,1,101,0
304,tr|A0A2R8PWX7|A0A2R8PWX7_DANRE,1467,0,166,56
305,tr|A0A2U3TW31|A0A2U3TW31_DANRE,700,1,119,2
306,tr|F1R3X6|F1R3X6_DANRE,1580,3,235,9
307,tr|A3KQE8|A3KQE8_DANRE,1283,4,260,3
308,tr|A0A2R8QKB0|A0A2R8QKB0_DANRE,1580,6,235,8
309,tr|A0A2R8QTH3|A0A2R8QTH3_DANRE,3269,1,373,0
310,tr|Q5SPA4|Q5SPA4_DANRE,3713,0,742,1
311,tr|A0A2R8RTD5|A0A2R8RTD5_DANRE,1467,22,166,36
312,tr|E9QDZ5|E9QDZ5_DANRE,3269,6,373,5
313,tr|A0A0R4IBR3|A0A0R4IBR3_DANRE,3719,3,178,0
